heading,count
PROCEDURE DONE,13
TEST RESULTS,13
INJECTABLES,13
IV FLUIDS,13
FLUOROSCOPY TIME,13
RADIOLOGY,13
EKG,13
INTERVAL HISTORY,13
ABNORMAL FINDINGS,12
DETAILS OF THE OPERATION,12
PATIENT INSTRUCTIONS,12
MANAGEMENT,12
LEFT MAIN CORONARY ARTERY,12
LEFT ANTERIOR DESCENDING ARTERY,12
INDICATIONS FOR THE OPERATION,12
LAB,12
COORDINATION,12
PROGNOSIS,12
LABORATORY FINDINGS,12
CVS,12
ED COURSE,12
SECONDARY DIAGNOSIS,12
CRANIAL NERVES,12
SECONDARY DIAGNOSES,12
LYMPH NODES,11
CLINICAL NOTE,11
INITIAL DIAGNOSES,11
IMPLANTS,11
RADIOLOGIC DATA,11
MOUTH AND THROAT,11
LYMPH,11
PELVIC,11
HEMATOLOGICAL,11
FINDINGS AND PROCEDURE,10
GROSS DESCRIPTION,10
SURGERY,10
MATERIALS USED,10
NAME OF PROCEDURE,10
COMPONENTS,10
TECHNIQUE AND FINDINGS,10
PRINCIPAL DIAGNOSIS,10
CIRCUMFLEX ARTERY,10
PREMEDICATION,10
INSTRUMENT,10
PREMEDICATIONS,10
ENDOSCOPIC IMPRESSION,10
ORAL CAVITY,10
PAST MEDICAL AND SURGICAL HISTORY,10
GENERAL EVALUATION,10
SOCIAL AND DEVELOPMENTAL HISTORY,10
ALLERGIES TO MEDICINES,10
PSH,10
THROAT,10
FOLLOW UP,10
CONSULTATIONS,10
GEN,10
EXT,10
DETAILS OF THE OR,9
SUMMARY OF PROCEDURE,9
CONSENT,9
PROCEDURE CODES,9
DESCRIPTION OF TECHNIQUE,9
GROSS OPERATIVE FINDINGS,9
DESCRIPTION OF FINDINGS,9
COR,9
CLINICAL INDICATION,9
PAST CARDIAC HISTORY,9
FAMILY AND SOCIAL HISTORY,9
FHX/SHX,9
FAMILY PSYCHIATRIC HISTORY,9
RELEVANT BACKGROUND INFORMATION,9
OTHER MEDICAL HISTORY,9
TASKS ADMINISTERED,9
PERSONAL AND SOCIAL HISTORY,9
DISCHARGE PHYSICAL EXAMINATION,9
SURGERIES,9
HEMATOLOGIC,9
LOWER EXTREMITIES,9
ALLERGIES TO MEDICATIONS,8
COURSE IN THE HOSPITAL,8
